# ==============================================================================
# CBM Multi-Modal Telemetry Dataset: FAULT_STATOR_INTER_TURN
# Testbed: 3-Phase Induction Motor Test Rig (55 kW, 400V, 4-Pole, 1788 RPM)
# DAQ: NI-9234 24-bit Dynamic Signal Acquisition (12.8 kS/s) + FBG Optical Interrogator
# Sensor Calibration: Accel = 100 mV/g, FBG = 1.2 pm/ue, Current = 20 mV/A, IR = 0.95 eps
# Benchmark Case: Phase U Inter-Turn Short Circuit (5 Turns shunted via external resistor)
# ==============================================================================
timestamp_iso_utc,time_rel_sec,ch1_vib_drive_end_g,ch2_vib_non_drive_end_g,ch3_fbg_strain_microstrain,ch4_ir_housing_temp_c,ch5_phase_u_current_a,ch6_phase_v_current_a,ch7_phase_w_current_a,operational_status
2026-08-28T14:22:00.000Z,0.000000,0.1369,-0.0119,142.40,115.77,0.043,-12.701,12.729,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000078,0.3091,0.1310,142.14,115.82,0.697,-13.154,12.446,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000156,0.0325,-0.0851,142.46,115.78,1.061,-13.475,12.217,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000234,0.4203,0.1118,142.22,115.73,1.453,-13.593,11.966,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000313,0.3427,0.2099,141.16,115.77,2.190,-13.608,11.606,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000391,0.2403,0.1962,142.22,115.76,2.740,-13.716,11.458,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.000Z,0.000469,0.5808,0.3558,141.17,115.73,3.099,-13.728,11.140,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000547,0.2994,0.4851,141.90,115.71,3.958,-14.076,10.875,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000625,0.5945,0.6226,143.18,115.80,4.227,-14.174,10.623,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000703,0.6882,0.5032,142.03,115.75,4.955,-14.246,10.278,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000781,0.4784,0.6717,141.46,115.78,5.504,-14.354,9.884,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000859,0.7838,0.6282,142.76,115.74,5.882,-14.678,9.825,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.000937,0.7320,0.5849,143.08,115.85,6.663,-14.562,9.381,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001016,0.8585,0.6297,142.12,115.79,6.762,-14.664,8.992,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001094,0.9653,0.6437,141.53,115.80,7.534,-14.599,8.739,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001172,1.0972,0.5927,142.12,115.85,7.997,-14.862,8.266,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001250,0.9908,0.6975,140.47,115.74,8.365,-14.771,7.808,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001328,1.1107,0.9227,142.23,115.79,9.089,-14.756,7.469,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001406,1.2347,0.8439,142.22,115.79,9.587,-14.701,7.124,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.001Z,0.001484,1.3086,1.0022,140.74,115.77,9.691,-14.700,6.961,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001563,1.1942,1.0510,142.11,115.82,10.316,-14.637,6.344,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001641,1.2417,0.8250,142.05,115.80,10.912,-14.625,6.058,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001719,1.1260,1.0012,143.51,115.84,11.253,-14.651,5.767,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001797,1.2923,1.1575,141.80,115.81,11.889,-14.695,5.219,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001875,1.3978,1.0369,142.19,115.83,12.006,-14.520,4.809,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.001953,1.3706,1.0318,141.03,115.80,12.685,-14.343,4.506,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002031,1.5396,1.0817,140.98,115.88,13.005,-14.398,3.890,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002109,1.3114,1.0546,142.35,115.82,13.231,-14.290,3.704,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002188,1.3847,1.2355,141.56,115.81,13.476,-14.239,3.357,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002266,1.3571,0.9300,141.04,115.81,14.099,-13.882,2.740,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002344,1.3008,0.9524,142.99,115.84,14.377,-13.631,2.607,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.002Z,0.002422,1.2257,1.0453,141.28,115.81,14.704,-13.665,1.929,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002500,1.5888,1.1189,141.09,115.80,15.167,-13.664,1.409,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002578,1.4490,1.2297,140.25,115.80,15.370,-13.323,1.180,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002656,1.5434,1.1460,142.22,115.84,15.899,-13.132,0.700,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002734,1.4365,1.0171,142.65,115.82,15.866,-12.846,0.484,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002812,1.3520,0.9683,142.98,115.83,16.261,-12.660,-0.151,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002891,1.2341,0.9931,142.76,115.75,16.508,-12.436,-0.455,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.002969,1.3937,0.9997,142.47,115.77,16.937,-12.420,-1.050,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003047,1.1586,0.9502,141.56,115.76,16.772,-11.960,-1.324,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003125,1.2748,0.9420,141.44,115.83,17.124,-11.933,-1.872,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003203,1.1078,1.0528,142.89,115.82,17.262,-11.409,-2.307,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003281,1.2215,1.0053,141.26,115.81,17.591,-11.069,-2.688,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003359,1.4689,0.9607,142.94,115.71,17.759,-11.036,-3.292,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.003Z,0.003438,1.1224,0.8154,142.88,115.80,18.107,-10.579,-3.478,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003516,1.0779,0.6574,141.52,115.83,18.157,-10.130,-3.951,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003594,1.2052,1.0645,141.98,115.77,18.251,-10.075,-4.459,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003672,1.1555,0.8144,141.62,115.81,18.309,-9.594,-4.796,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003750,0.9680,0.6646,142.97,115.77,18.204,-9.273,-5.131,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003828,0.9785,0.7011,142.00,115.81,18.536,-8.854,-5.726,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003906,0.8685,0.7630,141.20,115.81,18.637,-8.553,-6.042,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.003984,0.9087,0.8301,142.50,115.79,18.756,-8.333,-6.569,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.004063,0.7707,0.8852,142.72,115.80,18.892,-7.851,-6.864,FAULT_STATOR_INTER_TURN
2026-08-28T14:22:00.004Z,0.004141,0.8520,0.6530,141.45,115.76,18.584,-7.443,-7.254,FAULT_STATOR_INTER_TURN
